"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19"
"173" "1" "1" "1" "6" "2" "2" "1" "0" "1" "4" "3" "1" "5" "1" "1" "2" "1" "1" "1"
"174" "1" "5" "1" "2" "999" "1" "1" "2" "1" "2" "3" "2" "1" "1" "0" "2" "1" "1" "1"
"175" "1" "2" "1" "6" "2" "1" "1" "0" "2" "4" "4" "2" "6" "2" "1" "2" "4" "4" "4"
"176" "1" "5" "1" "2" "999" "2" "1" "999" "1" "1" "3" "2" "1" "2" "0" "2" "3" "3" "3"
"177" "0" "5" "1" "4" "2" "2" "1" "0" "999" "4" "5" "2" "2" "1" "0" "2" "1" "2" "1"
"178" "1" "5" "1" "1" "999" "2" "5" "0" "1" "3" "6" "2" "1" "2" "0" "2" "4" "4" "4"
"179" "0" "1" "1" "1" "999" "2" "5" "2" "1" "4" "6" "2" "5" "2" "0" "2" "4" "4" "4"
"180" "0" "4" "1" "4" "2" "2" "1" "0" "1" "4" "4" "2" "5" "2" "0" "2" "3" "3" "3"
"181" "0" "4" "1" "6" "2" "2" "5" "0" "1" "4" "4" "2" "5" "2" "0" "2" "2" "2" "2"
"182" "0" "4" "1" "6" "2" "2" "5" "0" "1" "4" "4" "2" "6" "1" "1" "2" "2" "1" "2"
"183" "0" "1" "1" "6" "2" "2" "5" "1" "1" "4" "3" "1" "5" "1" "1" "1" "1" "1" "1"
"184" "0" "2" "1" "1" "999" "2" "1" "0" "1" "2" "5" "2" "2" "1" "0" "2" "999" "2" "2"
"185" "1" "1" "1" "1" "999" "2" "5" "1" "1" "4" "1" "1" "3" "2" "0" "2" "3" "3" "3"
"186" "1" "2" "1" "3" "2" "2" "1" "0" "2" "4" "1" "1" "2" "2" "1" "1" "4" "4" "4"
"187" "1" "1" "1" "1" "999" "2" "1" "1" "1" "3" "6" "2" "3" "2" "0" "2" "3" "3" "2"
"188" "1" "2" "1" "3" "2" "2" "6" "1" "1" "4" "3" "1" "4" "2" "0" "2" "4" "4" "4"
"189" "1" "5" "1" "3" "1" "2" "1" "0" "0" "1" "6" "2" "1" "2" "0" "2" "3" "4" "3"
"190" "0" "1" "1" "4" "2" "1" "999" "999" "999" "4" "1" "1" "2" "2" "0" "2" "3" "3" "3"
"191" "1" "1" "1" "6" "1" "2" "5" "1" "1" "1" "1" "1" "3" "1" "0" "2" "1" "1" "1"
"192" "0" "4" "1" "1" "999" "2" "5" "2" "1" "4" "3" "2" "5" "2" "0" "2" "3" "3" "3"
"193" "0" "1" "1" "6" "2" "2" "5" "1" "999" "4" "3" "1" "5" "1" "0" "2" "2" "2" "2"
"194" "1" "5" "1" "1" "999" "2" "5" "2" "1" "3" "3" "2" "1" "2" "0" "2" "4" "4" "4"
"195" "0" "5" "1" "1" "999" "1" "5" "0" "999" "4" "6" "2" "1" "1" "0" "2" "2" "3" "2"
"196" "1" "1" "1" "1" "999" "2" "1" "2" "0" "4" "3" "2" "6" "1" "1" "1" "2" "2" "2"
"197" "1" "1" "1" "4" "1" "2" "1" "1" "999" "4" "3" "1" "5" "1" "1" "2" "1" "1" "1"
"198" "0" "5" "1" "4" "2" "2" "1" "999" "999" "3" "1" "1" "1" "2" "0" "2" "4" "4" "4"
"199" "0" "1" "1" "1" "999" "2" "5" "2" "999" "4" "3" "1" "5" "1" "1" "2" "1" "1" "1"
"200" "0" "2" "1" "5" "2" "2" "1" "999" "1" "4" "4" "2" "5" "2" "0" "2" "3" "2" "2"
"201" "0" "4" "1" "6" "2" "1" "999" "999" "2" "4" "4" "2" "6" "2" "0" "2" "4" "4" "4"
"202" "1" "5" "1" "1" "999" "2" "5" "1" "999" "2" "3" "2" "1" "2" "0" "2" "3" "4" "3"
"203" "1" "1" "1" "1" "999" "2" "5" "1" "1" "4" "6" "2" "1" "1" "1" "1" "1" "1" "1"
"204" "1" "4" "1" "1" "999" "2" "5" "2" "1" "4" "1" "1" "5" "2" "1" "2" "3" "3" "3"
"205" "1" "1" "1" "4" "2" "2" "1" "0" "1" "4" "3" "1" "5" "1" "1" "2" "2" "2" "2"
"206" "1" "1" "1" "2" "999" "2" "1" "1" "1" "3" "1" "1" "3" "2" "0" "2" "3" "3" "3"
"207" "0" "5" "1" "1" "999" "1" "1" "1" "1" "2" "1" "1" "1" "2" "0" "2" "3" "4" "3"
"208" "1" "1" "1" "7" "1" "2" "1" "1" "0" "4" "3" "2" "5" "1" "0" "2" "1" "1" "1"
"209" "0" "4" "1" "6" "2" "2" "6" "0" "999" "4" "4" "2" "5" "1" "0" "1" "3" "3" "2"
"210" "1" "1" "1" "1" "999" "2" "5" "1" "2" "4" "1" "1" "5" "1" "0" "2" "2" "1" "1"
"211" "1" "2" "1" "7" "2" "2" "1" "1" "2" "4" "3" "2" "1" "2" "0" "2" "3" "3" "3"
"212" "1" "1" "1" "1" "999" "2" "1" "1" "999" "4" "3" "2" "6" "1" "1" "2" "1" "1" "1"
"213" "0" "4" "1" "6" "2" "2" "1" "0" "2" "4" "4" "2" "5" "2" "0" "2" "4" "4" "3"
"214" "1" "1" "1" "7" "2" "2" "1" "0" "1" "4" "1" "1" "4" "1" "0" "2" "3" "3" "2"
"215" "0" "1" "1" "5" "2" "1" "1" "0" "1" "4" "1" "1" "5" "1" "0" "2" "2" "2" "1"
"216" "0" "4" "1" "4" "2" "2" "1" "1" "999" "4" "4" "2" "5" "1" "0" "2" "3" "2" "2"
"217" "1" "5" "1" "7" "1" "2" "1" "0" "999" "2" "6" "2" "1" "1" "0" "2" "2" "3" "2"
"218" "1" "1" "1" "4" "2" "2" "1" "1" "999" "4" "1" "1" "5" "2" "1" "2" "4" "4" "4"
"219" "0" "4" "1" "1" "999" "2" "6" "2" "999" "4" "3" "2" "5" "2" "1" "2" "3" "3" "2"
"220" "1" "5" "1" "2" "999" "2" "5" "0" "2" "1" "6" "2" "1" "2" "0" "2" "3" "3" "2"
"221" "0" "1" "1" "2" "999" "2" "1" "2" "999" "2" "3" "2" "4" "1" "0" "1" "2" "2" "2"
"222" "0" "1" "1" "2" "999" "2" "1" "0" "999" "4" "3" "2" "1" "1" "0" "2" "2" "2" "2"
"223" "0" "4" "1" "6" "2" "2" "6" "0" "999" "4" "4" "2" "5" "1" "0" "2" "2" "1" "1"
